First Name,Gender,Frequency
James,M,5059617
John,M,4911037
Robert,M,4755851
Michael,M,4396657
William,M,3951735
Mary,F,3752318
David,M,3638586
Joseph,M,2564135
Richard,M,2548914
Charles,M,2303298
Thomas,M,2278218
Christopher,M,2056007
Daniel,M,1949849
Matthew,M,1634990
Elizabeth,F,1574200
Patricia,F,1570001
Jennifer,F,1469399
Anthony,M,1465710
Linda,F,1449482
Barbara,F,1425634
Donald,M,1406051
Paul,M,1370233
Mark,M,1355094
George,M,1346554
Andrew,M,1301499
Steven,M,1287795
Kenneth,M,1274881
Joshua,M,1235287
Edward,M,1230302
Kevin,M,1179766
Brian,M,1170153
Margaret,F,1141851
Susan,F,1110318
Ronald,M,1078884
Timothy,M,1077041
Dorothy,F,1056328
Jessica,F,1046946
Jason,M,1044264
Sarah,F,1043020
Nancy,F,986208
Karen,F,985429
Betty,F,985323
Jeffrey,M,977009
Jacob,M,964759
Lisa,F,964263
Ryan,M,955149
Nicholas,M,914534
Helen,F,902170
Gary,M,899356
Eric,M,883497
Sandra,F,872664
Emily,F,868255
Jonathan,M,860454
Stephen,M,856039
Ashley,F,854546
Kimberly,F,843117
Donna,F,827102
Frank,M,824902
Michelle,F,813666
Carol,F,812556
Larry,M,803882
Benjamin,M,792177
Justin,M,783665
Samuel,M,777550
Amanda,F,776813
Scott,M,770038
Brandon,M,766043
Anna,F,760797
Raymond,M,754928
Melissa,F,754853
Laura,F,754516
Rebecca,F,742101
Stephanie,F,741855
Ruth,F,741652
Deborah,F,738280
Jack,M,722371
Sharon,F,720041
Alexander,M,712791
Gregory,M,708304
Cynthia,F,706548
Kathleen,F,705556
Amy,F,689260
Shirley,F,680735
Henry,M,676878
Patrick,M,675765
Emma,F,669573
Angela,F,666768
Virginia,F,626642
Catherine,F,619682
Katherine,F,618630
Dennis,M,615319
Jerry,M,608772
Brenda,F,605721
Aaron,M,601454
Tyler,M,597769
Evelyn,F,593768
Pamela,F,592096
Nicole,F,591176
Samantha,F,586507
Jose,M,578375
Christine,F,576305
Peter,M,571715
Nathan,M,571683
Walter,M,569496
Adam,M,567810
Rachel,F,560650
Douglas,M,555973
Janet,F,551216
Carolyn,F,550199
Maria,F,549062
Debra,F,547815
Zachary,M,546470
Frances,F,535862
Olivia,F,532830
Harold,M,527029
Heather,F,523241
Diane,F,515241
Victoria,F,510662
Julie,F,507018
